Optimal_quantum_wells [Hartree atomic units]
Quantum well width,Al well comp.,Al barrier comp.,Ga well comp.,Ga barrier comp.,In well comp.,In barrier comp.,Well-barrier conduction offset,Well-barrier valence offset,Polarization field in well,Electronic band gap,Exciton binding energy,Log10 of squared overlap
34.015070249884600,0.01,0.9900000000000000,0.69,0.009999999999999680,0.30000000000000000,-1.11022302462516E-16,-0.10657381945726800,0.02325944034596880,0.002339554441448270,0.07163104183430590,0.0019111741334492300,-1.2566165661516400
34.015070249884600,0.0,0.9900000000000000,0.7,0.009999999999999680,0.30000000000000000,-1.11022302462516E-16,-0.10739880883901100,0.02341887689808830,0.0023431691857601300,0.07087152552550210,0.0019015329071409500,-1.2432022004430500
34.015070249884600,0.01,0.9800000000000000,0.69,0.019999999999999700,0.30000000000000000,-1.11022302462516E-16,-0.10561802672094800,0.02308272964894440,0.0023211999205010200,0.07211144581182950,0.0019123736757519800,-1.2487490921942900
34.015070249884600,0.0,0.9800000000000000,0.7,0.019999999999999700,0.30000000000000000,-1.11022302462516E-16,-0.10644301746912700,0.023242164834627100,0.002324830625265860,0.07123225880745200,0.0019016051571462900,-1.2420441114525200
34.015070249884600,0.0,0.9800000000000000,0.7,0.009999999999999680,0.30000000000000000,0.009999999999999890,-0.10405382564804800,0.0229592645753756,0.002272914002663440,0.07198203835352220,0.0019035516852222500,-1.2258699211050400
34.015070249884600,0.0,0.9700000000000000,0.7,0.029999999999999700,0.30000000000000000,-1.11022302462516E-16,-0.10549081260892400,0.02306544457986140,0.0023065748379443300,0.07138094489305040,0.0019057739424785100,-1.2224760479268200
34.015070249884600,0.0,0.9600000000000000,0.7,0.0399999999999997,0.30000000000000000,-1.11022302462516E-16,-0.10454219545610200,0.02288871760678800,0.0022884016167095600,0.07181685942874380,0.0019049271504819700,-1.2240959567463200
34.015070249884600,0.0,0.9500000000000000,0.7,0.04999999999999970,0.30000000000000000,-1.11022302462516E-16,-0.103597167205175,0.02271198538193670,0.002270310755178030,0.07220721239780940,0.0019064910660581600,-1.220913124098180
35.9047963748782,0.04,0.9900000000000000,0.6600000000000000,0.009999999999999680,0.30000000000000000,-1.11022302462516E-16,-0.10418390899534400,0.02278267453883490,0.002316175911030390,0.07030671913466410,0.0018672476238606500,-1.4369019887890400
35.9047963748782,0.03,0.9900000000000000,0.6800000000000000,0.009999999999999680,0.29000000000000000,-1.11022302462516E-16,-0.1041416040318550,0.022768814647106700,0.002302590356640380,0.07060621843327000,0.001877521957472990,-1.421942636687450
35.9047963748782,0.03,0.9900000000000000,0.6700000000000000,0.009999999999999680,0.30000000000000000,-1.11022302462516E-16,-0.10496521796968800,0.02294248882777310,0.002319968969873020,0.06930491241003070,0.0018590233866207300,-1.4211028526908200
35.9047963748782,0.02,0.9900000000000000,0.69,0.009999999999999680,0.29000000000000000,-1.11022302462516E-16,-0.10493753346760900,0.022928804832489600,0.0023065350080352000,0.06976014360662350,0.0018677668067479100,-1.414696609260890
35.9047963748782,0.02,0.9900000000000000,0.6800000000000000,0.009999999999999680,0.30000000000000000,-1.11022302462516E-16,-0.10576108677481900,0.023102179414997200,0.0023236959835456000,0.0683647428046552,0.0018476119635350400,-1.4228112636700500
35.9047963748782,0.01,0.9900000000000000,0.71,0.009999999999999680,0.28,-1.11022302462516E-16,-0.10491800887682500,0.022913514213667500,0.002293135122610790,0.06998809753712240,0.0018787348649137100,-1.3969240883889600
35.9047963748782,0.01,0.9900000000000000,0.7,0.009999999999999680,0.29000000000000000,-1.11022302462516E-16,-0.1057477063308480,0.023088671249556900,0.0023104130443604700,0.06891681575036100,0.0018591985425081900,-1.4012776093618400
35.9047963748782,0.01,0.9900000000000000,0.69,0.009999999999999680,0.30000000000000000,-1.11022302462516E-16,-0.10657151452788800,0.023261745275348700,0.002327357277832630,0.0675106788683194,0.0018375543898047200,-1.4080433097332300
35.9047963748782,0.0,0.9900000000000000,0.72,0.009999999999999680,0.28,-1.11022302462516E-16,-0.10574160894955000,0.023073564680523800,0.002297164563019930,0.06913526227400210,0.0018729436651104500,-1.3741582733407800
35.9047963748782,0.0,0.9900000000000000,0.71,0.009999999999999680,0.29000000000000000,-1.11022302462516E-16,-0.10657212173972200,0.02324841287855500,0.0023142247934389700,0.06777200759162930,0.0018496826759132900,-1.393327249774400
35.9047963748782,0.04,0.9800000000000000,0.6600000000000000,0.019999999999999700,0.30000000000000000,-1.11022302462516E-16,-0.10322813027561900,0.022605949825215000,0.0022978692825808800,0.07048406341957950,0.0018691699010310900,-1.4287276994853900
35.9047963748782,0.03,0.9800000000000000,0.6700000000000000,0.019999999999999700,0.30000000000000000,-1.11022302462516E-16,-0.10400944060775400,0.02276576275636270,0.002301678301866770,0.06963787105261540,0.0018587944331184300,-1.4174090593575100
35.9047963748782,0.02,0.9800000000000000,0.69,0.019999999999999700,0.29000000000000000,-1.11022302462516E-16,-0.10398175066025800,0.022752084206496200,0.002288180330692130,0.0700615377875807,0.001868829282562310,-1.4053320612929500
35.9047963748782,0.02,0.9800000000000000,0.6800000000000000,0.019999999999999700,0.30000000000000000,-1.11022302462516E-16,-0.1048053107683090,0.022925451988161800,0.0023054212481770200,0.06884617584743750,0.0018490742638139300,-1.4097015563083200
35.9047963748782,0.01,0.9800000000000000,0.71,0.019999999999999700,0.28,-1.11022302462516E-16,-0.1039622205858100,0.02273679907133820,0.002274715986348160,0.07055090070823850,0.0018789579968680500,-1.3975096822802200
